Type,Material,Name,Size,Quantity
Pipe,PVC - Plain End Plastic Sch 40 - SolvWld,Pipe,2,176.96875
Pipe,PVC - Plain End Plastic Sch 40 - SolvWld,Pipe,3,135.933333333333
Pipe,PVC - Plain End Plastic Sch 40 - SolvWld,Pipe,4,86.24
Nipples,PVC - Plain End Sch 40 - Thread,Nipple,2,7
Nipples,PVC - Plain End Sch 40 - Thread,Nipple,3,9
Nipples,PVC - Plain End Sch 40 - Thread,Nipple,4,4
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,1/4 Bend Long Sweep,2,12
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,1/4 Bend Long Sweep,3,3
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,1/4 Bend Long Sweep,4,4
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,1/8 Bend,2,9
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,1/8 Bend,3,6
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Combination,3,3
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Combination,4,10
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Combination - Red,3x3x2,5
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Combination - Red,4x4x3,1
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Coupling,2,3
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Coupling,3,1
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,P-Trap,2,5
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,P-Trap,3,2
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Reducing Coupling,3x2,3
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Wye - Reducing,3x3x2,2
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Wye - Reducing,4x4x2,6
Fittings,PVC - Hub x Hub Plastic DWV - SolvWld,Wye - Reducing,4x4x3,6
Excav & Backfill, - Trenching - ,2' x 2' Ditch,2,176.96875
Excav & Backfill, - Trenching - ,2' x 2' Ditch,3,135.933333333333
Excav & Backfill, - Trenching - ,2' x 3' Ditch,4,86.24
Misc. Consumables, - Plastic Joints Glue & Cleaner - ,Glue & Cleaner,Cement - PVC,8.3829
Misc. Consumables, - Plastic Joints Glue & Cleaner - ,Glue & Cleaner,Cleaner-All Purpose,8.3829
Pipe Cut,Plastic - Pipe Cut with Chop Saw - ChopSaw,PIPE CUT,2,23
Pipe Cut,Plastic - Pipe Cut with Chop Saw - ChopSaw,PIPE CUT,3,20
Pipe Cut,Plastic - Pipe Cut with Chop Saw - ChopSaw,PIPE CUT,4,30
